,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
447,Zarand,IR,30.8127,56.564,69.21,24,0,3.11,clear sky
448,Sampit,ID,-2.5333,112.95,83.41,64,47,3.13,scattered clouds
449,Kapit,MY,2.0167,112.9333,86.38,61,61,1.39,broken clouds
450,Asfi,MA,32.2994,-9.2372,69.26,91,95,10.27,overcast clouds
451,Skowhegan,US,44.7651,-69.7192,64.38,96,4,1.36,clear sky
452,Guna,IN,24.65,77.3167,81.64,75,100,9.08,overcast clouds
453,Kemin,KG,42.7846,75.6892,73.33,40,0,6.71,clear sky
454,Kolda,SN,12.8833,-14.95,75.9,94,100,4.05,overcast clouds
455,Lagos,NG,6.5833,3.75,74.53,91,100,5.32,overcast clouds
456,Evensk,RU,61.95,159.2333,75.22,43,72,9.84,broken clouds
457,Teguise,ES,29.0605,-13.564,68.22,78,0,19.57,clear sky
458,Clyde River,CA,70.4692,-68.5914,43.03,81,0,6.91,clear sky
459,Narragansett,US,41.4501,-71.4495,74.82,67,41,1.01,scattered clouds
460,Nizamabad,IN,18.6667,78.1167,74.3,90,99,15.21,overcast clouds
461,Tutin,RS,42.9903,20.3314,56.37,61,13,3.71,few clouds
462,Tucuman,AR,-26.8241,-65.2226,57.2,54,0,5.75,smoke
463,Acajutla,SV,13.5928,-89.8275,79.75,81,100,3.49,overcast clouds
464,Desna,UA,50.9273,30.7605,62.85,88,36,1.36,scattered clouds
465,Tarabuco,BO,-19.1667,-64.9167,49.21,30,34,8.08,scattered clouds
466,Zambezi,ZM,-13.5432,23.1047,49.3,69,0,4.92,clear sky
467,Bemidji,US,47.4736,-94.8803,68.09,90,0,4.61,clear sky
468,Rawson,AR,-43.3002,-65.1023,43.25,78,100,18.25,light rain
469,Boa Vista,BR,2.8197,-60.6733,78.78,78,40,3.44,scattered clouds
470,Maloy,NO,61.9353,5.1136,49.73,74,16,8.48,light rain
471,Catamarca,AR,-28.4696,-65.7852,55.78,42,0,1.01,clear sky
472,Constitucion,CL,-35.3333,-72.4167,46.0,85,95,6.22,overcast clouds
473,Margate,GB,51.3813,1.3862,58.3,86,72,2.08,broken clouds
474,Kaeo,NZ,-35.1,173.7833,64.33,72,99,4.72,overcast clouds
475,Penzance,GB,50.1186,-5.5371,57.88,76,100,10.74,overcast clouds
476,Guerrero Negro,MX,27.9769,-114.0611,68.02,78,5,18.66,clear sky
477,Xuddur,SO,4.1213,43.8894,70.5,85,94,18.99,overcast clouds
478,Buenos Aires,AR,-34.6132,-58.3772,55.13,90,20,3.44,few clouds
479,Namtsy,RU,62.7161,129.6658,72.41,71,94,3.56,overcast clouds
480,Dongfeng,CN,42.6403,125.5118,70.38,83,74,5.48,broken clouds
481,Kamenka,RU,51.3223,42.7678,55.72,96,2,10.63,clear sky
482,Kalga,RU,50.9251,118.898,69.67,81,100,5.64,light rain
483,Kavieng,PG,-2.5744,150.7967,83.62,71,53,10.33,moderate rain
484,Kidal,ML,18.4411,1.4078,83.68,50,26,16.22,scattered clouds
485,Sharkan,RU,57.2989,53.8712,68.61,88,100,7.2,overcast clouds
486,Atikokan,CA,48.7555,-91.6216,62.76,64,99,6.22,overcast clouds
487,Ferrol,ES,43.4832,-8.2369,72.59,87,100,15.66,overcast clouds
488,Eyl,SO,7.9803,49.8164,79.63,69,100,22.7,overcast clouds
489,San Cristobal,VE,7.7669,-72.225,75.38,86,46,1.43,scattered clouds
490,Sabang,ID,5.8933,95.3214,82.89,74,79,17.56,broken clouds
491,Chazuta,PE,-6.5742,-76.1367,77.85,83,24,1.5,few clouds
492,Olafsvik,IS,64.8945,-23.7142,49.53,78,98,4.54,overcast clouds
493,Statesboro,US,32.4488,-81.7832,78.33,78,40,0.0,scattered clouds
494,Pecos,US,31.4229,-103.4932,96.89,19,0,9.22,clear sky
495,Tabas,IR,33.5959,56.9244,81.43,20,0,6.38,clear sky
496,Copiapo,CL,-27.3667,-70.3333,49.69,65,100,1.36,overcast clouds
497,Partapur,IN,23.6,74.1667,80.04,88,100,7.54,moderate rain
498,Floro,NO,61.5996,5.0328,49.96,87,100,11.5,overcast clouds
499,Gazanjyk,TM,39.2446,55.5154,85.26,19,0,5.61,clear sky
500,Ambanja,MG,-13.6833,48.45,64.89,83,5,4.29,clear sky
501,Grindavik,IS,63.8424,-22.4338,48.15,87,75,0.0,broken clouds
502,Verkhoyansk,RU,67.5447,133.385,76.73,44,7,1.01,clear sky
503,Talara,PE,-4.5772,-81.2719,63.91,84,5,17.98,clear sky
504,Chara,RU,56.9064,118.2631,70.43,63,98,4.25,overcast clouds
505,Dunedin,NZ,-45.8742,170.5036,43.81,79,100,13.0,overcast clouds
506,San Carlos De Bariloche,AR,-41.1456,-71.3082,31.75,80,75,10.36,light snow
507,Marfino,RU,55.7028,37.3822,59.14,87,0,8.95,clear sky
508,Marienburg,PL,54.0359,19.0266,59.11,91,98,11.41,overcast clouds
509,Aragats,AM,40.4889,44.3528,60.37,72,1,5.64,clear sky
510,Hatillo,PR,18.4863,-66.8254,79.39,96,42,3.0,scattered clouds
511,Itaituba,BR,-4.2761,-55.9836,77.56,69,97,2.48,overcast clouds
512,Caconda,AO,-13.7333,15.0667,49.87,50,0,5.17,clear sky
513,Luzhou,CN,28.8724,105.4405,90.79,64,72,4.85,broken clouds
514,Ayorou,NE,14.7308,0.9174,89.38,40,22,1.92,few clouds
515,Siverskiy,RU,59.3544,30.0783,49.44,96,93,4.52,overcast clouds
516,Inhambane,MZ,-23.865,35.3833,64.92,68,0,6.51,clear sky
517,Morogoro,TZ,-6.8167,37.6667,63.48,84,28,1.97,scattered clouds
518,Puerto Leguizamo,CO,-0.1934,-74.7819,72.07,97,74,1.43,broken clouds
519,Benoy,TD,8.9833,16.3199,72.03,95,100,2.04,moderate rain
520,Guaranesia,BR,-21.2992,-46.8025,61.86,59,9,5.7,clear sky
521,Riyadh,SA,24.6877,46.7219,87.94,14,21,7.72,few clouds
522,Vievis,LT,54.7667,24.8,54.16,97,39,8.12,scattered clouds
523,Atar,MR,20.5169,-13.0499,89.71,36,97,16.11,overcast clouds
524,Fort Collins,US,40.5853,-105.0844,82.56,61,78,10.33,broken clouds
525,Kostino,RU,58.9097,53.2691,64.81,98,100,9.44,light rain
526,Marica,BR,-22.9194,-42.8186,73.31,87,8,12.64,clear sky
527,Kendari,ID,-3.945,122.4989,76.51,92,100,1.81,heavy intensity rain
528,Harnai,PK,30.1005,67.9374,82.31,60,98,1.05,overcast clouds
529,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,77.59,57,0,11.18,clear sky
530,Kailua,US,21.4022,-157.7394,83.61,75,55,8.01,broken clouds
531,Narrabri,AU,-30.3167,149.7833,59.52,56,0,3.0,clear sky
532,Half Moon Bay,US,37.4636,-122.4286,76.53,74,0,17.27,haze
533,Fuling,CN,29.7022,107.3919,90.16,62,100,1.57,overcast clouds
534,Kasiri,SL,8.9412,-13.1148,75.69,90,100,3.65,light rain
535,Kampong Thum,KH,12.7111,104.8887,81.66,83,100,2.84,overcast clouds
536,Takapau,NZ,-40.0333,176.35,50.74,74,96,2.8,overcast clouds
537,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,93,75,8.05,light intensity drizzle
538,Muros,ES,42.7762,-9.0603,72.16,76,99,4.94,overcast clouds
539,Puerto Narino,CO,-3.7703,-70.3831,72.63,97,47,1.59,scattered clouds
540,Udachnyy,RU,66.4167,112.4,52.45,100,100,11.68,light rain
541,Mao,ES,39.8885,4.2658,73.96,88,0,4.61,clear sky
542,Sola,VU,-13.8833,167.55,80.24,73,40,7.99,scattered clouds
543,Leshan,CN,29.5623,103.7639,83.59,87,72,1.77,broken clouds
544,Vuktyl,RU,63.8567,57.3094,70.09,80,100,1.14,overcast clouds
545,Catalina,US,32.5056,-110.9211,90.48,54,99,5.23,overcast clouds
546,Alyangula,AU,-13.8483,136.4192,74.8,56,61,15.41,broken clouds
547,Batagay-Alyta,RU,67.8006,130.4114,74.16,46,12,4.0,few clouds
548,Basco,PH,20.4487,121.9702,84.65,80,94,17.69,overcast clouds
549,Tommot,RU,58.9564,126.2925,81.34,55,31,3.8,scattered clouds
550,Coari,BR,-4.085,-63.1414,73.71,93,38,2.21,scattered clouds
551,Pimentel,PE,-6.8367,-79.9342,61.52,87,12,16.62,few clouds
552,Vardo,NO,70.3705,31.1107,53.58,100,100,0.0,fog
553,Balsas,BR,-7.5325,-46.0356,79.66,47,64,3.22,broken clouds
554,Bilma,NE,18.6853,12.9164,87.73,32,80,6.69,broken clouds
555,Vao,NC,-22.6667,167.4833,71.08,62,0,20.38,clear sky
556,Antalaha,MG,-14.9003,50.2788,66.88,84,45,6.98,scattered clouds
557,North Branch,US,45.5113,-92.9802,80.58,80,99,10.58,overcast clouds
558,Buala,SB,-8.145,159.5921,83.98,69,100,7.83,light rain
559,Wanning,CN,18.8003,110.3967,86.94,73,39,9.6,scattered clouds
560,Mae Sai,TH,20.4335,99.8762,79.5,88,83,1.34,light rain
561,Taveta,KE,-3.3963,37.6736,66.42,79,100,8.5,overcast clouds
562,Bilibino,RU,68.0546,166.4372,61.86,40,26,3.36,scattered clouds
563,Slave Lake,CA,55.2834,-114.769,66.63,57,34,1.83,scattered clouds
564,Sydney,AU,-33.8679,151.2073,60.31,60,20,9.22,few clouds
565,Whitianga,NZ,-36.8333,175.7,56.82,73,95,3.31,overcast clouds
566,Kruisfontein,ZA,-34.0033,24.7314,49.71,91,6,5.59,clear sky
567,Khudumelapye,BW,-23.8833,24.75,53.29,31,0,6.71,clear sky
568,Salina Cruz,MX,16.1667,-95.2,78.24,87,100,7.34,overcast clouds
569,Ahuimanu,US,21.4447,-157.8378,83.34,74,60,8.01,broken clouds
570,Nuuk,GL,64.1835,-51.7216,45.88,81,61,14.97,broken clouds
571,Lazaro Cardenas,MX,17.9583,-102.2,81.03,81,55,2.89,broken clouds
572,Sedam,IN,17.1773,77.2824,74.39,85,100,14.72,overcast clouds
573,Tabou,CI,4.423,-7.3528,75.11,82,91,8.1,overcast clouds
574,Stornoway,GB,58.2093,-6.3865,53.92,93,75,5.75,broken clouds
575,Coahuayana,MX,18.7333,-103.6833,79.83,86,79,2.64,broken clouds
576,Douglas,US,41.3,-96.167,87.67,62,0,9.22,clear sky
577,Koygorodok,RU,60.445,50.9968,63.73,95,100,5.68,overcast clouds
578,Sibolga,ID,1.7427,98.7792,81.18,84,100,1.99,overcast clouds
579,Golden,US,39.7555,-105.2211,80.08,63,100,6.38,overcast clouds
580,Loa Janan,ID,-0.583,117.095,76.86,88,100,0.31,light rain
581,Naze,JP,28.3667,129.4833,83.37,79,100,12.71,overcast clouds
582,Sungairaya,ID,0.7,108.9,85.01,64,25,1.9,scattered clouds
583,Otradnoye,RU,59.7775,30.8181,55.96,97,97,5.28,overcast clouds
584,Mogadishu,SO,2.0371,45.3438,76.78,84,26,17.92,light rain
585,Kuloy,RU,61.0305,42.4925,59.99,82,97,2.57,overcast clouds
586,Les Cayes,HT,18.2,-73.75,79.11,84,80,3.15,broken clouds
587,Urumqi,CN,43.801,87.6005,70.75,33,0,6.71,clear sky
588,Naryan-Mar,RU,67.6713,53.087,70.05,76,100,5.35,overcast clouds
589,El Alto,PE,-4.2714,-81.2147,62.76,81,4,13.82,clear sky
590,Avanigadda,IN,16.0215,80.9181,80.92,69,100,13.82,overcast clouds
591,Salaverry,PE,-8.2333,-78.9667,60.75,84,74,10.71,broken clouds
592,Port-Gentil,GA,-0.7193,8.7815,74.79,74,70,9.42,broken clouds
593,Huarmey,PE,-10.0681,-78.1522,61.79,83,52,12.28,broken clouds
594,Ayagoz,KZ,47.9714,80.4392,69.44,41,0,5.39,clear sky
595,Mehran,IR,33.1222,46.1646,90.84,16,0,10.25,clear sky
596,Abay,KZ,49.6311,72.8539,62.98,28,56,6.71,broken clouds
597,Berlevag,NO,70.8578,29.0864,57.0,100,75,11.5,broken clouds
598,Saint-Pierre,RE,-21.3393,55.4781,65.91,70,20,8.05,few clouds
599,Mazamet,FR,43.49,2.373,76.08,57,0,0.0,clear sky
600,Arenapolis,BR,-14.4503,-56.8461,72.82,45,8,4.65,clear sky
601,Omboue,GA,-1.5746,9.2618,69.89,91,10,5.93,clear sky
602,Acapulco,MX,16.8634,-99.8901,79.45,84,100,4.88,overcast clouds
603,Sirjan,IR,29.452,55.6814,72.91,18,0,12.37,clear sky
604,Muswellbrook,AU,-32.2667,150.9,56.25,61,0,2.44,clear sky
605,Hervey Bay,AU,-25.2986,152.8535,65.39,67,14,17.63,few clouds
606,Canaries,ES,28.0,-15.5,64.36,73,20,25.32,few clouds
607,Shache,CN,38.4167,77.2406,74.95,38,100,4.21,overcast clouds
608,Taoudenni,ML,22.6783,-3.9836,96.84,9,4,12.57,clear sky
609,Broome,US,42.2506,-75.833,63.99,82,3,3.62,clear sky
610,Pinsk,BY,52.1229,26.0951,56.77,81,100,3.53,overcast clouds
611,Soyaniquilpan,MX,19.9833,-99.5,57.29,83,100,7.7,overcast clouds
612,Limon,CR,10.0,-83.0333,78.67,85,100,1.21,overcast clouds
613,Severobaykalsk,RU,55.65,109.3167,56.95,86,97,5.28,overcast clouds
614,Laguna,US,38.421,-121.4238,100.4,39,0,11.5,clear sky
615,Tabuk,PH,17.4189,121.4443,85.3,75,62,5.35,broken clouds
616,Chimoio,MZ,-19.1164,33.4833,55.49,72,6,2.82,clear sky
617,Maryborough,AU,-25.5333,152.7,66.56,58,8,9.8,clear sky
618,Diu,IN,20.7141,70.9822,80.29,90,100,21.45,moderate rain
619,Salinopolis,BR,-0.6136,-47.3561,77.76,87,10,10.74,clear sky
620,San Ramon De La Nueva Oran,AR,-23.1322,-64.326,57.42,64,2,2.51,clear sky
621,Opuwo,NA,-18.0607,13.84,55.81,38,0,8.48,clear sky
622,Halifax,CA,44.6453,-63.5724,64.47,94,26,5.01,scattered clouds
623,Srivardhan,IN,18.0333,73.0167,79.3,87,100,23.13,overcast clouds
624,Ketchikan,US,55.3422,-131.6461,53.64,96,100,4.92,light rain
625,Boende,CD,-0.2167,20.8667,72.93,87,95,2.39,overcast clouds
626,Mayo,US,38.8876,-76.5119,80.55,78,0,0.0,clear sky
627,Port Hardy,CA,50.6996,-127.4199,60.71,73,100,6.89,overcast clouds
628,Sao Filipe,CV,14.8961,-24.4956,74.43,78,38,6.91,scattered clouds
629,Rincon,US,32.296,-81.2354,77.86,97,100,9.78,overcast clouds
630,Guane,CU,22.2025,-84.0875,76.35,83,91,4.16,overcast clouds
631,Griffith,US,41.5284,-87.4237,72.1,84,0,5.75,clear sky
632,Ust-Nera,RU,64.5667,143.2,76.87,51,100,1.14,overcast clouds
633,Ranau,MY,5.9538,116.6641,76.71,75,100,1.43,overcast clouds
634,Eirunepe,BR,-6.6603,-69.8736,74.3,92,57,2.04,broken clouds
635,Bay City,US,43.5945,-83.8889,69.8,64,0,0.0,clear sky
636,Malia,GR,35.2833,25.4667,75.65,81,0,17.2,clear sky
637,Shubarkuduk,KZ,49.1447,56.4872,83.32,25,95,10.04,overcast clouds
638,Tautira,PF,-17.7333,-149.15,75.87,65,25,23.82,scattered clouds
639,Hit,IQ,33.6416,42.8251,88.12,21,0,15.75,clear sky
640,Salisbury,GB,51.0693,-1.7957,58.01,79,6,5.59,clear sky
641,Calama,CL,-22.4667,-68.9333,44.29,23,0,12.06,clear sky
642,Asau,RO,46.4333,26.4,61.47,68,2,6.2,clear sky
643,Killybegs,IE,54.6333,-8.45,57.74,97,100,12.53,overcast clouds
644,Coihaique,CL,-45.5752,-72.0662,20.79,99,86,2.35,overcast clouds
645,Kjopsvik,NO,68.097,16.3742,52.18,99,100,6.15,light rain
646,Chandrakona,IN,22.7333,87.5167,84.61,76,74,15.99,broken clouds
647,Hambantota,LK,6.1241,81.1185,79.14,100,20,10.36,few clouds
648,Atambua,ID,-9.1061,124.8925,78.03,58,74,3.47,broken clouds
649,Kano,NG,12.0001,8.5167,76.93,72,77,11.23,broken clouds
650,Lamu,KE,-2.2717,40.902,71.82,86,50,14.03,light rain
651,Codrington,AU,-38.2667,141.9667,52.88,79,100,11.79,overcast clouds
652,Marsh Harbour,BS,26.5412,-77.0636,82.42,73,56,17.07,broken clouds
653,Mana,GF,5.6592,-53.7767,76.78,90,96,7.52,overcast clouds
654,Capreol,CA,46.706,-80.9225,56.88,69,29,2.01,scattered clouds
655,Taltal,CL,-25.4,-70.4833,54.23,72,15,6.71,few clouds
656,Gillette,US,44.2911,-105.5022,73.06,69,100,13.0,overcast clouds
657,Yate,GB,51.5407,-2.4184,56.98,76,18,3.2,few clouds
658,Tual,ID,-5.6667,132.75,79.47,80,32,24.45,scattered clouds
659,Gravelbourg,CA,49.8834,-106.5512,79.7,46,0,5.08,clear sky
660,Starobaltachevo,RU,56.0013,55.9213,70.74,80,100,13.98,overcast clouds
661,Aripuana,BR,-9.1667,-60.6333,74.93,53,2,0.22,clear sky
662,High Level,CA,58.5169,-117.136,74.86,34,67,5.1,broken clouds
663,Westport,US,41.1415,-73.3579,78.91,60,45,1.99,scattered clouds
664,Udimskiy,RU,61.1417,45.9144,60.17,87,89,3.85,overcast clouds
665,Lichinga,MZ,-13.3128,35.2406,54.37,73,28,8.1,scattered clouds
666,Priiskovyy,RU,51.9333,116.6333,62.85,95,100,2.71,overcast clouds
667,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,92,75,10.36,broken clouds
668,Erenhot,CN,43.6475,111.9767,81.99,20,100,6.69,overcast clouds
669,Van,TR,38.4924,43.3831,65.55,63,20,1.14,few clouds
670,Talcahuano,CL,-36.7167,-73.1167,38.88,93,100,10.36,overcast clouds
671,Labrea,BR,-7.2586,-64.7981,79.23,69,61,2.62,broken clouds
672,Kishtwar,IN,33.3167,75.7667,68.74,81,98,2.28,overcast clouds
